tconst,originalTitle,genres
tt1194616,LOL (Laughing Out Loud) ®,"Comedy,Romance"
tt11970970,"Une nuit, à travers champs",Drama
tt1206478,Le crime est notre affaire,"Comedy,Crime,Mystery"
tt1217637,Pour elle,"Crime,Drama,Thriller"
tt1220911,Pourquoi j'ai pas mangé mon père,"Adventure,Animation,Comedy"
tt12264966,Notre-Dame brûle,"Biography,Drama,Thriller"
tt1229381,Hors la loi,"Crime,Drama,War"
tt1234432,Grande ourse: La clé des possibles,"Mystery,Sci-Fi"
tt1234542,Le dernier vol,"Adventure,Drama,Romance"
tt1235166,Un prophète,"Crime,Drama"
tt1235536,Lucky Luke,"Adventure,Comedy,Western"
tt1236182,Cendres et Sang,Drama
tt1236250,Gigola,Drama
tt1239430,La cité,"Drama,History"
tt12474292,Cas Communautaire,Drama
tt1247640,Banlieue 13: Ultimatum,"Action,Crime,Thriller"
tt12485780,Le coeur noir des forêts,Drama
tt1255953,Incendies,"Drama,Mystery,War"
tt1257562,Hadewijch,Drama
tt1258120,L'armée du crime,"Drama,History,War"
tt1264904,Le Petit Nicolas,"Comedy,Family"
tt1266037,Quartier lointain,"Comedy,Drama,Fantasy"
tt12672536,Les trois mousquetaires: D'Artagnan,"Action,Adventure,History"
tt1280016,L'enfance d'Icare,"Drama,Sci-Fi,Thriller"
tt12883472,Alors on danse,"Comedy,Romance"
tt12942974,2011,"Horror,Thriller"
tt1295912,"Pour toujours, les Canadiens!","Drama,History,Sport"
tt1298831,La blonde aux seins nus,"Adventure,Drama,Romance"
tt1303900,"Silence, ça tue!",Thriller
tt13086492,La ligne,Drama
tt1311065,Demain,Drama
tt13129482,Phénomènes Inexplicables: Cold Tapes,Mystery
tt1314237,Les beaux gosses,"Comedy,Drama,Romance"
tt13153470,About Joan,"Drama,Romance"
tt1315962,Partir,"Crime,Drama,Romance"
tt1320383,L'insurgée,Drama
tt13204490,Petite maman,"Drama,Fantasy"
tt1322325,Chicas,Drama
tt1322333,Largo Winch II,"Action,Adventure,Thriller"
tt13269580,À plein temps,Drama
tt13321730,La fracture,"Comedy,Drama"
tt1334076,Un capitalisme sentimental,"Comedy,Drama,Musical"
tt13353386,Tendre et saignant,"Comedy,Romance"
tt13391708,Les cinq diables,"Drama,Fantasy,Romance"
tt13462472,Les jeunes amants,"Drama,Romance"
tt1347441,No pasaran,Comedy
tt13528092,Vacances,"Crime,Drama"
tt1356893,Au voleur,"Crime,Drama,Romance"
tt1361541,Fais-moi plaisir!,Comedy
tt13667778,Archipel,Animation
tt1372730,Impasse,Drama
tt13742084,"Habib, la grande aventure",Comedy
tt1382725,La rafle,"Drama,History,War"
tt13846402,Les passagers de la nuit,Drama
tt13846442,Tout le monde m'appelle Mike,Thriller
tt14055038,Twist à Bamako,"Drama,History,Romance"
tt1405809,Lourdes,Drama
tt1410201,Coupled with Love,"Comedy,Drama"
tt14120072,États de choc - Primum non nocere,Documentary
tt14125272,"Kanun, la loi du sang",Thriller
tt14163992,L'établi,"Biography,Drama,History"
tt14212090,L'envol,"Drama,History,Romance"
tt14275050,Plus que jamais,"Drama,Romance"
tt14317880,Coupez!,"Comedy,Horror"
tt14328348,Last Dance,Comedy
tt1440232,Les petits mouchoirs,"Comedy,Drama"
tt14458636,Une femme de notre temps,"Crime,Drama"
tt14485794,Éoliennes: du rêve aux réalités,Documentary
tt14495660,Sexygénaires,Comedy
tt14534796,Mascarade,"Crime,Drama"
tt14542254,Novembre,"Crime,Drama,Thriller"
tt1454907,Blanc comme neige,Thriller
tt1460741,Cabotins,Comedy
tt14622802,Frère et soeur,Drama
tt14624330,Arsenault & fils,"Crime,Drama"
tt14646488,Normale,"Comedy,Drama"
tt1465487,L'arnacoeur,"Comedy,Romance"
tt14663154,Les âmes soeurs,Drama
tt1472464,Une Estonienne à Paris,Drama
tt1473074,Mammuth,"Comedy,Drama"
