nconst,primaryName,knownForTitles
nm0000547,Alfred Molina,"tt0316654,tt0120679,tt0118749,tt0175880"
nm0001149,Richard Donner,"tt0078346,tt0089457,tt0839995,tt0093409"
nm0001258,James Garner,"tt0332280,tt0071042,tt0057115,tt0186566"
nm0001295,Graham Greene,"tt0120689,tt5362988,tt0099348,tt0110478"
nm0202704,Bruce Davey,"tt2119532,tt0112573,tt0335345,tt0465580"
nm0507212,Geoffrey Lewis,"tt0202677,tt0072288,tt0395584,tt0077523"
nm0809544,Paul L. Smith,"tt0110478,tt0081353,tt0087182,tt0089893"
nm0852305,Dub Taylor,"tt0068638,tt0065214,tt0030993,tt0072288"
nm0000386,Roland Emmerich,"tt0116629,tt0120685,tt0319262,tt1628841"
nm0000621,Kurt Russell,"tt0082340,tt3460252,tt0116225,tt0084787"
nm0000652,James Spader,"tt2741602,tt0402711,tt0098724,tt2395427"
nm0000815,Mili Avital,"tt0111282,tt0112817,tt0181199,tt0120723"
nm0001109,Jaye Davidson,"tt0104036,tt0111282,tt1493839,tt0179250"
nm0002041,Dean Devlin,"tt0116629,tt0120685,tt1628841,tt0111282"
nm0004850,Alexis Cruz,"tt0111282,tt0123324"
nm0005023,Djimon Hounsou,"tt0450259,tt2015381,tt0298845,tt0118607"
nm0225963,John Diehl,tt0109446
nm0248082,Oliver Eberle,"tt0111282,tt0105698,tt0097910,tt0093201"
nm0490707,Carlos Lauchu,"tt0111282,tt0117723,tt1209361,tt0385664"
nm0511798,Viveca Lindfors,"tt0083767,tt0111282,tt0040076,tt0070903"
nm0728132,Leon Rippy,"tt0271367,tt0111282,tt0348914,tt0187393"
nm0000116,James Cameron,"tt1630029,tt0499549,tt0090605,tt0103064"
nm0000119,Tia Carrere,"tt0105793,tt0275847,tt0207919,tt0111503"
nm0000130,Jamie Lee Curtis,"tt1502407,tt6710474,tt0111503,tt0120694"
nm0000200,Bill Paxton,"tt0090605,tt0264616,tt0112384,tt0117998"
nm0000216,Arnold Schwarzenegger,"tt0103064,tt0216216,tt0088247,tt0107362"
nm0000792,Tom Arnold,"tt0111503,tt0117768,tt0242445,tt0306685"
nm0020612,James Allen,"tt0111503,tt4599636,tt0114398"
nm0244630,Eliza Dushku,"tt0204946,tt0261392,tt0295700,tt1135300"
nm0381416,Grant Heslov,"tt1024648,tt0433383,tt1124035,tt0112715"
nm0539562,Art Malik,"tt0093428,tt0111503,tt0780653,tt5971474"
nm0542000,Marshall Manesh,"tt0118715,tt0449088,tt0460649,tt2062469"
nm0000102,Kevin Bacon,"tt0087277,tt0164052,tt0361127,tt0327056"
nm0000158,Tom Hanks,"tt0162222,tt0094737,tt0109830,tt0107818"
nm0000165,Ron Howard,"tt0367279,tt0268978,tt0075213,tt0112384"
nm0000200,Bill Paxton,"tt0090605,tt0264616,tt0112384,tt0117998"
nm0000438,Ed Harris,"tt0800308,tt0183659,tt0120382,tt0112384"
nm0000599,Kathleen Quinlan,"tt0112384,tt0118771,tt0101761,tt0069704"
nm0000641,Gary Sinise,"tt0109830,tt0105046,tt0112384,tt0117438"
nm0004976,Brian Grazer,"tt0268978,tt0367279,tt0112384,tt0088161"
