tconst,originalTitle,genres
tt0848228,The Avengers,"Action,Sci-Fi"
tt0892769,How to Train Your Dragon,"Action,Adventure,Animation"
tt0903624,The Hobbit: An Unexpected Journey,"Adventure,Fantasy"
tt0910970,WALL·E,"Adventure,Animation,Family"
tt0926084,Harry Potter and the Deathly Hallows - Part 1,"Adventure,Family,Fantasy"
tt0942385,Tropic Thunder,"Action,Comedy,War"
tt0970179,Hugo,"Adventure,Drama,Family"
tt0983193,The Adventures of Tintin,"Action,Adventure,Animation"
tt0985699,Valkyrie,"Drama,History,Thriller"
tt0988045,Sherlock Holmes,"Action,Adventure,Mystery"
tt0993846,The Wolf of Wall Street,"Biography,Comedy,Crime"
tt1001526,Megamind,"Action,Adventure,Animation"
tt10366206,John Wick: Chapter 4,"Action,Crime,Thriller"
tt1049413,Up,"Adventure,Animation,Comedy"
tt1057500,Invictus,"Biography,Drama,History"
tt10640346,Babylon,"Comedy,Drama,History"
tt1074638,Skyfall,"Action,Adventure,Thriller"
tt10872600,Spider-Man: No Way Home,"Action,Adventure,Fantasy"
tt10935956,Kira & El Gin,"Action,Drama,History"
tt1109624,Paddington,"Adventure,Comedy,Family"
tt11138512,The Northman,"Action,Adventure,Drama"
tt11286314,Don't Look Up,"Comedy,Drama,Sci-Fi"
tt1130884,Shutter Island,"Drama,Mystery,Thriller"
tt1131729,Pirate Radio,"Comedy,Drama,Music"
tt1152836,Public Enemies,"Action,Biography,Crime"
tt1160419,Dune,"Action,Adventure,Drama"
tt1170358,The Hobbit: The Desolation of Smaug,"Adventure,Drama,Fantasy"
tt11866324,Prey,"Action,Adventure,Horror"
tt1186830,Agora,"Adventure,Biography,Drama"
tt1190539,Chugyeokja,"Action,Crime,Drama"
tt1192628,Rango,"Action,Adventure,Animation"
tt1197624,Law Abiding Citizen,"Action,Crime,Drama"
tt1201607,Harry Potter and the Deathly Hallows - Part 2,"Adventure,Family,Fantasy"
tt1210166,Moneyball,"Biography,Drama,Sport"
tt1211837,Doctor Strange,"Action,Adventure,Fantasy"
tt1213641,First Man,"Biography,Drama,History"
tt1217209,Brave,"Adventure,Animation,Comedy"
tt12262116,Thirteen Lives,"Biography,Drama,Thriller"
tt1229238,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller"
tt12361974,Zack Snyder's Justice League,"Action,Adventure,Fantasy"
tt1245526,RED,"Action,Comedy,Crime"
tt12593682,Bullet Train,"Action,Comedy,Thriller"
tt1270798,X: First Class,"Action,Sci-Fi"
tt12801262,Luca,"Adventure,Animation,Comedy"
tt1300854,Iron Man Three,"Action,Adventure,Sci-Fi"
tt1302006,The Irishman,"Biography,Crime,Drama"
tt1302011,Kung Fu Panda 2,"Action,Adventure,Animation"
tt1318514,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi"
tt1321510,In the Heights,"Drama,Musical,Romance"
tt1323594,Despicable Me,"Adventure,Animation,Comedy"
tt1326972,Chi bi: Jue zhan tian xia,"Action,Adventure,Drama"
tt1343092,The Great Gatsby,"Drama,Romance"
tt1343727,Dredd,"Action,Crime,Sci-Fi"
tt1345836,The Dark Knight Rises,"Action,Drama,Thriller"
tt1355644,Passengers,"Drama,Romance,Sci-Fi"
tt1371111,Cloud Atlas,"Drama,Mystery,Sci-Fi"
tt1375666,Inception,"Action,Adventure,Sci-Fi"
tt1385826,The Adjustment Bureau,"Crime,Drama,Mystery"
tt1389137,We Bought a Zoo,"Comedy,Drama,Family"
tt1392170,The Hunger Games,"Action,Adventure,Sci-Fi"
tt1392190,Mad Max: Fury Road,"Action,Adventure,Sci-Fi"
tt1408101,Star Trek Into Darkness,"Action,Adventure,Sci-Fi"
tt1410063,Jin ling shi san chai,"Drama,History,Romance"
tt1431045,Deadpool,"Action,Comedy"
tt1446192,Rise of the Guardians,"Action,Adventure,Animation"
tt1446714,Prometheus,"Adventure,Mystery,Sci-Fi"
tt1453405,Monsters University,"Adventure,Animation,Comedy"
tt1454468,Gravity,"Drama,Sci-Fi,Thriller"
tt1477715,This Is It,"Documentary,Music"
tt1483013,Oblivion,"Action,Adventure,Sci-Fi"
tt1485796,The Greatest Showman,"Biography,Drama,Musical"
tt1490017,The Lego Movie,"Action,Adventure,Animation"
tt1515091,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Mystery"
tt1535109,Captain Phillips,"Action,Biography,Crime"
tt15398776,Oppenheimer,"Biography,Drama,History"
tt1568346,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery"
tt1568911,War Horse,"Action,Adventure,Drama"
tt1570728,"Crazy, Stupid, Love.","Comedy,Drama,Romance"
tt1596343,Fast Five,"Action,Crime,Thriller"
tt1623288,ParaNorman,"Adventure,Animation,Comedy"
tt1630029,Avatar: The Way of Water,"Action,Adventure,Fantasy"
