nconst,primaryName,knownForTitles
nm0187337,Bruno Cremer,"tt0076740,tt0086779,tt0097995,tt0098534"
nm0264688,Pierre Fabre,"tt0065651,tt0295664,tt0213933,tt0276689"
nm0674398,Benito Perojo,"tt0034805,tt0032760,tt0024533,tt0031424"
nm0674742,Jacques Perrin,"tt0065234,tt0372824,tt0095765,tt0237534"
nm0864107,Boramy Tioulong,"tt0083684,tt0058863,tt0358651,tt0278223"
nm0953400,Manuel Zarzo,"tt0096764,tt0058418,tt0071931,tt0063508"
nm3984602,Saksi Sbong,"tt13149120,tt0069287,tt1941577,tt0056306"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0092316,Valérie Boisgel,"tt0124735,tt0315433,tt0072146,tt0193944"
nm0173916,Jean-Louis Comolli,"tt0072772,tt0264560,tt0082844,tt0083614"
nm0176061,Eddie Constantine,"tt0058898,tt0045617,tt0081070,tt0101307"
nm0216155,Michel Delahaye,"tt0057869,tt3508394,tt0180901,tt2076220"
nm0276467,Jean-André Fieschi,"tt0240106,tt0137451,tt1176642,tt14857860"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0485713,Christa Lang,"tt0069495,tt0098889,tt0113564,tt0098396"
nm0529543,Jean-Pierre Léaud,"tt0053198,tt0099818,tt0065651,tt0060675"
nm0844435,László Szabó,"tt0088154,tt0096332,tt0382664,tt0072447"
nm0848667,Akim Tamiroff,"tt0052311,tt0035896,tt0058898,tt0057427"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0000901,Jean-Paul Belmondo,"tt0059592,tt0053472,tt0055082,tt0061452"
nm0007631,Aicha Abadir,tt7778778
nm0040933,Henri Attal,"tt0056663,tt0058089,tt0059206,tt0062728"
nm0041332,Pascal Aubier,"tt0315209,tt0315200,tt0069294,tt0306669"
nm0042695,Maurice Auzel,"tt0074123,tt0082949,tt0073535,tt0087742"
nm0222930,Raymond Devos,"tt0070590,tt0161006,tt0275822,tt0154298"
nm0244813,Roger Dutoit,"tt1109459,tt0121845,tt0141673,tt0357098"
nm0303413,Graziella Galvani,"tt0059592,tt0139979,tt0173184,tt0141658"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0039853,Bernard Assiniwi,"tt0268644,tt0059873,tt0063861,tt0264228"
nm0090369,Jacques Bobet,"tt0093117,tt0079220,tt0233720,tt0226065"
nm0137345,Gilles Carle,"tt0082919,tt0069477,tt0075680,tt0080718"
nm0405695,Paul Hébert,"tt0061996,tt0112714,tt0220210,tt0276711"
nm0427255,Monique Joly,"tt1255980,tt0057725,tt0226102,tt0059873"
nm0478283,Guy L'Ecuyer,"tt0083592,tt0212163,tt0165570,tt0069355"
nm0490459,Gilles Latulippe,"tt0130193,tt0059873,tt0252213,tt0190203"
nm0501164,Raymond Lemay,tt0059873
nm0587605,Albert Millaire,"tt0168408,tt0167570,tt0165359,tt0380732"
nm0693620,Jacques Poulin,"tt0071552,tt0059873"
nm0884546,Suzanne Valéry,"tt0068928,tt0059873,tt0061627,tt0135741"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0012734,Yves Afonso,"tt0101364,tt0207479,tt0338608,tt0225376"
nm0049114,Claude Bakka,"tt0059432,tt0204708,tt0062728,tt0060630"
nm0058351,Daniel Bart,"tt0272989,tt0214335,tt6313530,tt0154269"
nm0081654,Jean-Pierre Biesse,tt0137451
nm0099352,Jean-Claude Bouillon,"tt1167638,tt0096332,tt0235337,tt0166036"
nm0178969,Fernand Coquet,"tt0057869,tt0056663,tt0058701,tt0068205"
nm0265717,Marianne Faithfull,"tt0422720,tt0762110,tt0063013,tt1160419"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0529543,Jean-Pierre Léaud,"tt0053198,tt0099818,tt0065651,tt0060675"
nm0844435,László Szabó,"tt0088154,tt0096332,tt0382664,tt0072447"
nm0000076,François Truffaut,"tt0070460,tt0075860,tt0053198,tt0055032"
nm0003909,Michael Lonsdale,"tt0069947,tt0079574,tt0122690,tt0408306"
nm0099429,Daniel Boulanger,"tt0058203,tt0053814,tt0060908,tt0055832"
nm0099677,Michel Bouquet,"tt2150332,tt0364301,tt0064323,tt0268219"
nm0108400,Jean-Claude Brialy,"tt0195436,tt0053198,tt0065772,tt0071487"
nm0216387,Sylvine Delannoy,"tt0061955,tt0063771,tt0217703,tt4019456"
nm0219342,Charles Denner,"tt0065234,tt0076155,tt0061955,tt0051378"
nm0264636,Luce Fabiole,"tt0073312,tt0168316,tt0198342,tt0306674"
nm0603402,Jeanne Moreau,"tt0055032,tt0052556,tt0100263,tt0051378"
nm0723623,Claude Rich,"tt0250223,tt0063152,tt0105448,tt0061955"
nm0829155,Alexandra Stewart,"tt0095174,tt1772250,tt0053804,tt0091737"
nm0000076,François Truffaut,"tt0070460,tt0075860,tt0053198,tt0055032"
nm0003909,Michael Lonsdale,"tt0069947,tt0079574,tt0122690,tt0408306"
nm0147561,Daniel Ceccaldi,"tt0065651,tt0082935,tt0047003,tt0062695"
